car_id,car_make,car_model,car_year,car_vin,car_color
332,Hyundai,Sonata,2007,WAUAH74F46N344296,Blue
333,Mercury,Mariner,2008,JTDKN3DU1F0385408,Turquoise
334,Nissan,Pathfinder,2004,1FMJK1G58CE635750,Puce
335,Buick,Skylark,1987,2G4GS5EV3C9059754,Pink
336,Mazda,MX-6,1995,1N6AA0CH2EN142134,Puce
337,Audi,A3,2009,2C4RDGBG1ER146757,Purple
338,Porsche,Boxster,1998,WBALZ5C57CC575705,Turquoise
339,Ford,Escape,2009,JN8AS5MT2CW980658,Yellow
340,Mitsubishi,Galant,2011,WA1CMAFE8AD595582,Indigo
341,GMC,Yukon XL 1500,2001,19XFB2F50FE142366,Red
342,Mazda,Miata MX-5,1996,1G6AF5S35D0476924,Yellow
343,Subaru,Justy,1987,JHMZF1C69FS690922,Turquoise
344,Infiniti,G,2000,3VWF17AT3FM436966,Pink
345,GMC,Vandura 3500,1993,1N6AA0EJ5FN812437,Crimson
346,Ford,Focus,2013,2T2BK1BA4BC044084,Turquoise
347,Ford,Expedition EL,2007,WAUDF98E95A418205,Fuscia
348,Mazda,RX-7,1990,WBSCL93461L709578,Pink
349,Toyota,Camry,1997,WBABV13465J110550,Violet
350,Toyota,Celica,2005,JA32X8HW9AU546896,Puce
351,Volkswagen,Rabbit,2006,4A4AP3AU0DE997330,Khaki
352,Nissan,NV2500,2012,WAUBFAFL1CN603624,Purple
353,Lotus,Exige,2007,5TDBK3EH8DS645243,Purple
354,Nissan,Altima,1995,2C3CDZFJ4FH854875,Orange
355,Mercury,Cougar,1970,WBANN73556B873308,Mauv
356,Nissan,Xterra,2000,WA1LGBFE3CD334523,Puce
357,Volkswagen,Touareg 2,2009,JTHBB1BA2B2555133,Orange
358,Suzuki,Vitara,2003,1GD12ZCG8BF949318,Maroon
359,Audi,Coupe GT,1985,WAUAF78E28A398682,Red
360,Mercedes-Benz,S-Class,2001,WBSPM93519E534549,Green
361,Audi,A8,2010,JTEBU5JR6E5272100,Yellow
362,Subaru,Brat,1987,WBAWV5C55AP607663,Violet
363,Ford,Aerostar,1996,JTHBL5EF6E5046175,Yellow
364,Honda,Pilot,2002,5UMDU93508L379704,Indigo
365,Land Rover,Defender,1994,1FTWW3B54AE699850,Pink
366,Chevrolet,Cavalier,2001,5J6TF1H32EL610448,Fuscia
367,Volkswagen,rio,2002,1N6AF0LY5FN184428,Fuscia
368,Nissan,Xterra,2011,2FMGK5DCXAB154346,Crimson
369,GMC,Jimmy,2001,WBAKF5C59DJ190521,Pink
370,Pontiac,G5,2009,2G4WF551011333050,Purple
371,Mercedes-Benz,G-Class,2004,WA1CFAFP3DA318968,Mauv
372,Kia,Sportage,1996,WAUEFAFL5BA267835,Red
373,Ford,Focus,2005,3D73M3HL3BG577188,Orange
374,Volvo,XC90,2007,3GYFNGE36CS079155,Yellow
375,Ford,E350,2010,WA1LFBFP0DA217361,Khaki
376,Infiniti,G,2000,WVGAV7AX9CW154441,Maroon
377,Dodge,Monaco,1992,SCFEBBAK9DG364721,Green
378,Saab,9-7X,2009,1C3BCBFG3CN105112,Violet
379,Ford,Explorer Sport Trac,2006,WBA3V9C52F5404694,Khaki
380,Honda,Civic,2003,WAUKFAFL1DA600361,Teal
381,Dodge,Nitro,2007,WAUEFAFL8CN512735,Pink
382,Toyota,Paseo,1996,WBABN33431J128137,Red
383,Ferrari,599 GTB Fiorano,2009,1G6KD57Y64U003864,Fuscia
384,Oldsmobile,Silhouette,2003,1FTWW3A57AE153769,Violet
385,Ford,Ranger,2011,WAUVT68E62A028198,Pink
386,Volkswagen,Fox,1991,KNALN4D72E5770074,Indigo
387,Chevrolet,Astro,1993,WAUAFAFLXCN675188,Purple
388,Mitsubishi,Pajero,2003,3GYFNFEY7AS100842,Indigo
389,GMC,Yukon,2004,5UXZV4C52BL630285,Blue
390,Volvo,C70,2011,5N1AR1NB1BC015274,Fuscia
391,Audi,200,1991,3VW507AT8EM390208,Khaki
392,GMC,2500,1999,WBA3B5C55FP394331,Turquoise
393,Toyota,Corolla,2000,WBAEP33434P777722,Pink
394,Chevrolet,Avalanche 1500,2002,JM1NC2EF9A0156688,Mauv
395,Toyota,Avalon,1999,SCBCR73W08C586126,Purple
396,Saab,900,1999,1VWAS7A31FC899987,Pink
397,Toyota,Tacoma,2012,4JGBF2FEXCA379704,Orange
398,Lamborghini,Aventador,2012,3VW1K7AJ6CM907171,Teal
399,Acura,TL,2003,1N6AF0LXXEN269755,Teal
400,BMW,530,2001,JM1NC2LF4F0897549,Pink
401,GMC,Yukon XL 2500,2000,WAUMGAFL5AA245521,Teal
402,Maybach,57,2010,WBAKG1C53CE324789,Turquoise
403,Ford,Escort,1993,JTJHY7AX7D4822774,Red
404,Mitsubishi,Galant,1999,SALFR2BN7BH121870,Red
405,Ford,Focus,2005,1GYS4RKJ3FR844345,Mauv
406,Volkswagen,Touareg,2008,1FMJK1HT0FE154330,Turquoise
407,Chevrolet,Suburban 1500,2006,1G6DA8E53D0052975,Maroon
408,Maybach,57,2008,WAUDF98E86A219860,Pink
409,Lexus,RX,2006,WAUGL98E88A030456,Purple
410,Nissan,NV1500,2012,WAULD64B44N205519,Puce
411,Maybach,62,2012,YV1612FH8D2082953,Blue
412,Acura,MDX,2011,1N6AF0KY8FN625633,Turquoise
413,Nissan,Murano,2009,WVWAA7AJXCW524789,Green
414,GMC,Savana,2011,5N1AT2MK7FC238899,Turquoise
415,Ford,Ranger,2008,JTDKN3DP9C3372264,Puce
416,Chevrolet,K5 Blazer,1995,JTDKTUD30ED832529,Yellow
417,Maserati,228,1989,WAUBVAFA6AN669889,Khaki
418,GMC,Envoy,2005,5N1AZ2MH0FN578855,Turquoise
419,Dodge,Nitro,2008,WBAKB0C56BC270083,Violet
420,Pontiac,Aztek,2003,SCFEDCAD4AG848387,Turquoise
421,Eagle,Talon,1990,WAUBH74F57N285006,Mauv
422,Mazda,B-Series,2008,WBA4C9C5XFD467817,Purple
423,Chevrolet,Silverado 1500,2007,1C3CDZCB6DN440403,Red
424,Buick,Reatta,1989,WBALM7C59EE192124,Goldenrod
425,Chevrolet,Caprice,1977,WBANE73576B096162,Yellow
426,Mazda,RX-7,1994,TRUSC28N231406491,Green
427,Cadillac,Escalade ESV,2004,WBA3B1C56EK129485,Pink
428,Acura,RL,2012,WBSPM9C5XBE669941,Turquoise
429,Dodge,Journey,2009,WAUFEAFM5AA630567,Fuscia
430,Mercedes-Benz,E-Class,2004,WDCYC3HF1BX610112,Yellow
431,Suzuki,Vitara,2001,WBASP2C53CC135416,Purple
432,Eagle,Talon,1997,KNADH4A39B6291797,Indigo
433,Pontiac,Trans Sport,1990,5UXFG8C52BL473944,Aquamarine
434,Acura,TSX,2006,1GYFK66868R252745,Red
435,Land Rover,Discovery,2002,WBAPH57539N737986,Yellow
436,Kia,Amanti,2005,JM1CW2BL4C0280525,Purple
437,Chrysler,Concorde,1999,WBAYE0C5XED357033,Yellow
438,Nissan,Leaf,2011,5N1AR1NB8AC151884,Purple
439,Cadillac,Eldorado,2001,WBAEV53463K998261,Blue
440,Toyota,Paseo,1995,WAUGL98E27A685453,Mauv
441,Toyota,Tacoma,2012,3GYFNDEY1BS358618,Turquoise
442,GMC,Yukon XL 1500,2000,1G6DN57P090085831,Red
443,Lamborghini,Murciélago,2007,WA1CMAFE9BD562947,Aquamarine
444,Chevrolet,1500,1993,WAUVC58E12A639217,Turquoise
445,Land Rover,Defender Ice Edition,2010,JN1AV7AP6FM523618,Violet
446,Oldsmobile,88,1997,WBALZ3C55CD395041,Purple
447,Honda,CR-V,1997,2C3CDXBG3DH519277,Orange
448,Jeep,Commander,2010,WBA3T3C54EJ927952,Fuscia
449,Volkswagen,Scirocco,1988,3N1CN7AP0FL636922,Mauv
450,Plymouth,Prowler,1997,WUARU98E47N641619,Violet
451,Ford,Club Wagon,1998,WAUSF78E18A266825,Violet
452,Lincoln,Navigator L,2012,WAUMF68P76A726734,Indigo
453,Toyota,Land Cruiser,2008,WBAUP73598V941200,Pink
454,Mitsubishi,Galant,2005,KMHHU6KJ3FU798488,Pink
455,Pontiac,Grand Prix,1991,1G6DS1E39D0581365,Blue
456,Chevrolet,Express 1500,2005,WAUBF98E67A607050,Mauv
457,Acura,NSX,2002,WBALL5C59DE007009,Green
458,Audi,Q7,2008,JHMZE2H30DS319183,Turquoise
459,Kia,Rio,2005,WDCGG0EB2EG696518,Goldenrod
460,Bentley,Brooklands,2009,WBAUC9C53DV083501,Blue
461,Pontiac,Firefly,1986,1GTN1UEH4FZ078150,Green
462,Chrysler,Concorde,1993,1FTWW3B54AE075997,Indigo
463,Aston Martin,DBS,2009,SCBZU25E81C638592,Crimson
464,Lamborghini,Murciélago,2006,3C6LD5BT8CG148281,Mauv
465,Dodge,D250,1993,4A4AP3AU9FE252482,Violet
466,Mercedes-Benz,S-Class,2007,WAUEF98EX8A104197,Pink
467,Isuzu,Hombre Space,1997,JN8AZ2KR2ET636687,Indigo
468,Honda,Pilot,2008,19XFA1E30AE280754,Purple
469,Subaru,Impreza,1998,WAUBNAFB6AN545775,Green
470,GMC,Sierra 1500,2000,ZHWGU5AU1CL461946,Teal
471,Volvo,C70,2000,JH4DC54825S003370,Aquamarine
472,Mazda,RX-7,1985,2HNYB1H29AH260073,Teal
473,BMW,Z4,2006,JM1GJ1T64F1867907,Fuscia
474,Subaru,Legacy,2000,WAUSFAFL4CA282685,Green
475,Porsche,944,1985,WAUMF98P96A062776,Violet
476,Chevrolet,Cobalt SS,2007,1FTFW1E80AF278504,Purple
477,Infiniti,Q,1998,1G6DL67A780719805,Purple
478,Hyundai,Santa Fe,2012,1N6AA0CH3DN440643,Crimson
479,Mercedes-Benz,300CE,1993,3LNHL2GC5BR248085,Pink
480,Mazda,Millenia,1995,4T1BF3EK4BU689292,Khaki
481,Toyota,Camry Hybrid,2009,JM1NC2SF1F0774177,Blue
482,Suzuki,Equator,2010,5GADV23LX5D099450,Turquoise
483,Cadillac,Escalade,2003,SCBBR93W08C423578,Goldenrod
484,Toyota,Camry,2008,1G6DP5ED6B0143790,Puce
485,Honda,Civic,1997,WAUEV74F37N579977,Teal
486,Ram,1500,2012,WAUUL78E25A935262,Violet
487,Saab,9-3,2004,3VWA17AU8FM385760,Red
488,Hyundai,Sonata,2005,SAJWA1CZ4E8376895,Green
489,Land Rover,Range Rover,1997,1GYS3EEJ5DR284400,Red
490,Saab,9000,1992,4T1BD1FK5FU813360,Red
491,Suzuki,Grand Vitara,2010,WBA3B5G57FN606586,Maroon
492,Lexus,LS,1993,WAUKFBFL7BN109790,Orange
493,Hyundai,Accent,1999,3C3CFFJH9FT112508,Crimson
494,Toyota,Sienna,2006,5XXGM4A7XDG887438,Mauv
495,Mercedes-Benz,S-Class,2011,JM1NC2EF2A0005157,Blue
496,Ford,Probe,1990,WAUSH94F27N814150,Orange
497,Ford,E-Series,1994,2FMHK6DC4AB756976,Maroon
498,Pontiac,Vibe,2009,WAUVT68E53A067737,Violet
499,Pontiac,Grand Prix,1987,1N6AD0CU9AC228390,Blue
500,Pontiac,Grand Prix,1981,WAUKH78E86A370560,Puce
501,Subaru,Leone,1988,JN8AF5MV1FT267407,Crimson
502,Chevrolet,Express 2500,2012,WAUML64B33N378678,Khaki
503,Mercury,Tracer,1989,1FTWW3A58AE369081,Maroon
504,Lincoln,Navigator L,2012,WBAAV53481J134054,Yellow
505,Ford,Focus,2004,SCBCU7ZA7BC412510,Fuscia
506,Volvo,XC90,2010,5N1AN0NU1AC611622,Green
507,Mercury,Grand Marquis,2004,3D7JB1EP5AG314658,Mauv
508,Oldsmobile,Silhouette,1997,WP0AB2A85CS373770,Fuscia
509,Buick,Riviera,1995,1G6DM57T160505818,Violet
510,Saab,9000,1989,JN8AZ2NC6C9050186,Orange
511,Ford,Fiesta,2013,1G6AH5R35E0471417,Puce
512,Ford,Econoline E250,1997,1G6DK67V690625812,Red
513,Toyota,Camry,1996,1G6DS1E34C0446518,Goldenrod
514,Land Rover,Defender 90,1994,1GYEC638X8R503134,Fuscia
515,Infiniti,M,2011,3C3CFFFH0FT874084,Indigo
516,Mercedes-Benz,R-Class,2011,WAUNF78PX7A342703,Pink
517,Land Rover,Range Rover Sport,2010,3GTU2YEJ3BG388304,Turquoise
518,Ferrari,430 Scuderia,2008,2HNYD28219H846892,Khaki
519,Ford,F250,2001,1GD021EG9FZ178754,Maroon
520,Chevrolet,Suburban 2500,1998,WP0AA2A99ES046030,Yellow
521,Lincoln,Town Car,2002,SAJWA1CB1BL286938,Puce
522,Oldsmobile,Aurora,1997,3MZBM1U79EM567979,Blue
523,Volvo,S60,2005,WBALW7C52ED809332,Orange
524,Volkswagen,Routan,2012,1GTN1TEH2FZ921322,Green
525,Cadillac,DeVille,2000,TRUSX28N311529332,Goldenrod
526,Geo,Prizm,1992,5GAER23738J370088,Orange
527,Ford,Econoline E150,1994,1GYUKDEF2AR607251,Purple
528,Kia,Rio,2008,3VWML7AJ5EM084553,Aquamarine
529,Ford,Econoline E250,1999,SAJWA1EK4EM349915,Khaki
530,Ford,Expedition,2006,YV4960DL6A2138851,Goldenrod
531,Mitsubishi,Excel,1988,WBAFR9C5XDD532640,Violet
532,Ford,Taurus,1987,3D7TP2CT3AG404746,Yellow
533,Toyota,Celica,1996,WVWAB7AJ2CW902679,Violet
534,Subaru,Brat,1985,1FTEW1CM7EF670882,Blue
535,Mercedes-Benz,SLR McLaren,2009,JN1CV6EK1CM852661,Fuscia
536,Chevrolet,Tracker,2004,KMHGC4DD3CU290303,Crimson
537,Toyota,Corolla,2010,WAUED64B91N689787,Teal
538,Hyundai,Veracruz,2012,WA1WGBFP1EA506552,Fuscia
539,Nissan,Frontier,1998,JM1NC2LF5F0024697,Teal
540,Mazda,626,1987,WVWGU7AN3BE907630,Aquamarine
541,Nissan,Quest,2000,WBAYA8C50DD278916,Mauv
542,Nissan,Pathfinder,2012,5NPEB4AC0EH516496,Blue
543,Ford,Bronco,1987,1GYS3HEFXDR409095,Maroon
544,Toyota,Sequoia,2009,WAULL44E75N389387,Puce
545,Chevrolet,Cavalier,1997,WAUSH78E27A850353,Fuscia
546,Ford,F150,2003,1N6AA0CC8BN402617,Red
547,Volvo,S60,2001,WBA3A9C53FF353292,Khaki
548,Pontiac,Trans Sport,1995,19XFB4F22DE532786,Yellow
549,Pontiac,Grand Prix,2005,1FTSW3B50AE823871,Orange
550,Kia,Soul,2012,WA1YD64B32N971242,Green
551,Chevrolet,Sportvan G30,1994,19UUA655X5A572511,Turquoise
552,Subaru,Justy,1991,WAULC58E92A045109,Red
553,Saab,9-7X,2008,WUAUUAFG2EN006248,Indigo
554,Infiniti,Q,1993,JH4CU25629C388935,Goldenrod
555,Saab,9-3,2006,WBAFR7C56BC462190,Puce
556,Ford,Explorer Sport Trac,2006,19XFB2F51DE095104,Yellow
557,Lincoln,LS,2001,1FTWX3D57AE606328,Aquamarine
558,Chevrolet,G-Series G10,1993,5GAKVAKD7EJ405193,Orange
559,Dodge,Caravan,2002,2T1KE4EE9AC917645,Blue
560,BMW,3 Series,2003,WAUKH78E86A133552,Pink
561,Acura,MDX,2005,1GYFK66827R840110,Indigo
562,Mitsubishi,Galant,1987,WA1EY74L29D092434,Violet
563,Volkswagen,Fox,1992,3D7JV1EPXBG515044,Yellow
564,Lincoln,Town Car,1995,WAUDH94F08N604978,Blue
565,Mitsubishi,Diamante,2003,1GD02ZCG2EF483028,Maroon
566,Pontiac,Firefly,1984,1G6AK5S39F0652694,Purple
567,Volvo,V50,2009,1N6BF0KL2FN577345,Aquamarine
568,Volvo,S60,2001,YV4902BZ3E1671191,Blue
569,Land Rover,Discovery,2003,JH4KC1F32EC147111,Purple
570,Bentley,Continental,2012,1C3BC4FBXBN521995,Blue
571,Hyundai,Excel,1992,WAUFMAFC0EN500785,Pink
572,Cadillac,DTS,2007,1FMJK1G55EE690675,Mauv
573,Dodge,Ram 3500,2007,WBABW53465P187873,Yellow
574,Mercury,Cougar,1989,WBAVL1C58EV559748,Puce
575,GMC,Safari,1992,1FADP5AU8DL068682,Blue
576,Chevrolet,Cavalier,1999,WAUUL68E95A762110,Blue
577,Nissan,Maxima,1998,1G6KD57YX4U555626,Crimson
578,Ford,Taurus,1998,WAUDF48H29K589262,Crimson
579,Kia,Sedona,2010,WAUMR44E36N432207,Green
580,Dodge,Ram 1500 Club,1999,WAUGL98E15A358880,Violet
581,Ford,Mustang,2010,WAURD68D82A116398,Purple
582,Hyundai,Tiburon,2003,JN8AS5MT3CW156054,Fuscia
583,BMW,5 Series,1997,KM8NU4CC4AU603000,Purple
584,Suzuki,Vitara,2001,WAUEF48H28K901132,Maroon
585,Toyota,Celica,1994,WBANV93579C928769,Turquoise
586,Ford,Aspire,1995,JHMZF1D44ES262140,Violet
587,Chrysler,Town & Country,1996,WBAVA33518F668424,Orange
588,Cadillac,CTS,2011,1GT01ZCG1EF705081,Khaki
589,Suzuki,Aerio,2005,WP0AA2A96DS400777,Mauv
590,Suzuki,Reno,2006,WAUMGAFLXEA688365,Fuscia
591,Honda,Accord,2010,KNAFX6A88E5657570,Teal
592,Dodge,Stratus,1995,1C3BC2FB4BN628111,Orange
593,Dodge,Ram 1500,1998,KMHCM3AC7AU367964,Green
594,Chevrolet,Tahoe,2006,1FTWW3A55AE614435,Khaki
595,Land Rover,Range Rover,1989,SCBCR63W66C311030,Green
596,Toyota,Prius,2003,JH4CL95947C610345,Orange
597,Chevrolet,Metro,1998,3N1CN7AP0EL670387,Turquoise
598,Nissan,Frontier,2003,JN1CV6FE2FM379804,Crimson
599,Volkswagen,Rabbit,2009,1FTSW3B57AE312125,Indigo
600,Chevrolet,Tahoe,2011,WAUSF78E16A096740,Aquamarine
601,Infiniti,Q,2003,5J6TF1H35BL635453,Red
602,Honda,CR-V,2011,2HNYD18216H392956,Purple
603,Audi,A4,2012,1G6DC5EG4A0189168,Aquamarine
604,BMW,8 Series,1994,WUAUUAFG4EN170651,Teal
605,Lincoln,Continental,1995,WBA3N3C53EF347055,Pink
606,Chevrolet,Express 2500,2010,1G4GE5G35FF438172,Khaki
607,Chevrolet,Express 1500,1998,WBAKF5C5XDE584389,Orange
608,Hyundai,Accent,1999,3C4PDCDG9CT019441,Goldenrod
609,Ford,Escape,2002,5TDBCRFH5FS261034,Purple
610,Jeep,Grand Cherokee,2009,1C3CCBBB9CN383415,Yellow
611,Lotus,Esprit,1994,1G6DF5EG6A0120649,Violet
612,Toyota,Highlander,2008,1FTFW1E80AF539257,Indigo
613,Toyota,Avalon,1997,KMHTC6AD6DU818416,Turquoise
614,Lincoln,Continental Mark VII,1990,2C3CK6CT7AH899618,Khaki
615,Alfa Romeo,164,1993,JN8AS5MT7CW436401,Violet
616,Rolls-Royce,Phantom,2013,5J6TF1H59DL089132,Purple
617,Mazda,B-Series,2006,KM8JT3AB5CU798629,Khaki
618,Jeep,Compass,2008,5UXFG83529L861394,Green
619,Mazda,MPV,2001,WBAVC93568K512092,Puce
620,Mitsubishi,Challenger,2002,JN1AZ4FH0FM644147,Orange
621,Dodge,Ram 1500 Club,1999,WAUCFAFCXFN325282,Orange
622,Mitsubishi,Mirage,1990,1G6DM57T370458163,Green
623,Mercedes-Benz,SLK-Class,2002,2G4GK5EX2F9592183,Red
624,Lexus,GS,1999,3FADP4AJ8FM216900,Violet
625,Buick,LeSabre,1990,3G5DA03EX5S670541,Turquoise
626,Volkswagen,Rabbit,2008,5NPEB4AC0CH936031,Teal
627,Chrysler,Crossfire,2006,1FTEX1CM4BF266432,Puce
628,Ford,Th!nk,2000,JTHBB1BA7B2182624,Goldenrod
629,BMW,M3,2010,JHMZE2H56AS397478,Crimson
630,Jeep,Cherokee,2001,WAUEH78E36A919563,Indigo
631,Mazda,Tribute,2008,WP0CA2A88DK327783,Crimson
632,Infiniti,QX,2003,WBAEA53569C782272,Green
633,Infiniti,FX,2004,WBAWC7C5XAE045773,Green
634,Lincoln,Town Car,2010,WBA3C1C54FP876195,Blue
635,Ford,F250,1997,WAUAF98E67A572974,Mauv
636,Dodge,Stealth,1996,WBASN2C57AC070394,Mauv
637,Chevrolet,Tracker,2000,1FTSW2B51AE480868,Yellow
638,Volvo,V40,2004,WBAPH5G56BN605584,Violet
639,Hyundai,Elantra,2012,1G6DB1ED2B0687047,Fuscia
640,Nissan,Pathfinder,1993,WAUCD54B64N589538,Crimson
641,Hyundai,Elantra,2005,WBAUP7C58DV204094,Green
642,Hyundai,Accent,2009,1C3CDWEA4CD144478,Orange
643,Volkswagen,GTI,2011,WBABV13426J276145,Green
644,Jaguar,S-Type,2005,3FA6P0D92DR478575,Aquamarine
645,Mitsubishi,Galant,2001,KMHTC6AD1EU346627,Crimson
646,Mercury,Sable,1996,3D4PG5FV0AT914234,Teal
647,Toyota,Camry,1992,2HNYD189X4H723494,Turquoise
648,Jeep,Compass,2009,WDCGG0EB9FG159873,Green
649,Mercedes-Benz,C-Class,2009,YV4612HM9F1115903,Orange
650,Mercury,Milan,2009,JM1NC2LF4C0120333,Goldenrod
651,Subaru,Legacy,2009,JTEBU5JR9F5228318,Red
652,Chevrolet,Suburban 2500,2005,WAUDK78T69A163548,Red
653,Scion,xA,2005,JH4NA21664T469050,Red
654,Honda,Accord,1989,1GYFC16269R724066,Indigo
655,Infiniti,FX,2004,5NPDH4AE1CH757900,Yellow
656,Chevrolet,Impala,2012,JTDKTUD33ED616531,Aquamarine
657,Audi,A6,2012,3FA6P0SU3DR026710,Turquoise
658,Hyundai,Entourage,2007,WBABN33452J154224,Indigo
659,Chevrolet,Avalanche,2012,137FA84371E201492,Pink
660,Ford,Bronco,1985,JN8AZ2KR8ET751360,Blue
661,Toyota,Solara,2008,55SWF4JB7FU903545,Blue
662,GMC,Sierra,2012,WBAWL13538P805702,Pink
663,Austin,Mini,1963,3D73M4CLXBG929874,Red
664,Shelby,GT350,1969,5TDDK3DC7CS372843,Orange
665,Isuzu,Rodeo,2000,1G6DV5EP6E0221988,Fuscia
